name,description
Dinh dưỡng và sức khỏe,"Bài viết về chế độ ăn uống lành mạnh, dinh dưỡng hợp lý cho từng độ tuổi, bệnh lý và lối sống."
Sức khỏe tim mạch,"Thông tin cập nhật về bệnh tim mạch, huyết áp cao, cholesterol và các phương pháp phòng ngừa."
Chăm sóc da liễu,"Kiến thức và mẹo chăm sóc da, điều trị mụn, nám, lão hóa, các vấn đề da liễu thường gặp."
Sức khỏe tinh thần,"Các bài viết giúp cải thiện tâm lý, giảm căng thẳng, trầm cảm và nâng cao sức khỏe tinh thần."
Bệnh tiểu đường,"Tổng hợp kiến thức về bệnh tiểu đường, chế độ ăn uống, luyện tập và kiểm soát đường huyết."
Bệnh về hô hấp,"Thông tin về các bệnh viêm phổi, hen suyễn, COVID-19, cảm cúm và cách phòng tránh."
Dành cho trẻ em,"Các vấn đề sức khỏe, dinh dưỡng và phát triển thể chất cho trẻ nhỏ và trẻ sơ sinh."
Dành cho người cao tuổi,"Hướng dẫn chăm sóc sức khỏe người già, các bệnh tuổi già như xương khớp, tim mạch, mất ngủ."
Phụ nữ và sức khỏe,"Kiến thức về sức khỏe sinh sản, nội tiết tố, mang thai, mãn kinh và chăm sóc cơ thể phụ nữ."
Nam giới và sức khỏe,"Các chủ đề liên quan đến sức khỏe sinh lý, thể hình, dinh dưỡng và bệnh lý nam khoa."
Y học hiện đại,"Giới thiệu các tiến bộ mới trong y học, công nghệ điều trị và phẫu thuật tiên tiến."
Y học cổ truyền,"Bài thuốc Đông y, thảo dược, châm cứu và các phương pháp điều trị truyền thống."
Phòng bệnh thường gặp,"Mẹo và kiến thức phòng tránh các bệnh cảm cúm, sốt xuất huyết, tay chân miệng, tiêu chảy."
Sức khỏe nghề nghiệp,"Hướng dẫn bảo vệ sức khỏe khi làm việc, các bệnh nghề nghiệp và biện pháp phòng ngừa."
Thể dục thể thao,"Lợi ích của vận động, các bài tập rèn luyện thể lực và cách phòng tránh chấn thương."
Sức khỏe răng miệng,"Cách chăm sóc răng, nướu, phòng ngừa sâu răng, viêm lợi và hơi thở có mùi."
Giấc ngủ và nghỉ ngơi,"Vai trò của giấc ngủ, mẹo ngủ ngon, rối loạn giấc ngủ và tác hại của thiếu ngủ."
Cập nhật dịch bệnh,"Thông tin chính xác về các dịch bệnh mới nổi, hướng dẫn phòng chống và tiêm chủng."
