name,description
"Khoa Nội Tổng Quát","Khoa Nội Tổng Quát tiếp nhận và điều trị các bệnh lý nội khoa phổ biến như tiểu đường, cao huyết áp, bệnh gan, bệnh thận và các bệnh mãn tính khác. Khoa có đội ngũ bác sĩ nhiều kinh nghiệm trong chẩn đoán và điều trị toàn diện."
"Khoa Ngoại Tổng Hợp","Khoa Ngoại chuyên thực hiện các ca phẫu thuật bụng, tuyến giáp, u bướu và các phẫu thuật tổng quát khác. Trang thiết bị hiện đại hỗ trợ phẫu thuật ít xâm lấn và hồi phục nhanh."
"Khoa Nhi","Khoa Nhi phụ trách khám và điều trị cho trẻ sơ sinh, trẻ nhỏ và thanh thiếu niên. Bao gồm các bệnh lý hô hấp, tiêu hóa, dinh dưỡng và phát triển. Có khu vui chơi để giảm căng thẳng cho bệnh nhi."
"Khoa Sản","Khoa Sản chuyên về chăm sóc sức khỏe sinh sản, khám thai định kỳ, siêu âm, đỡ sinh thường và sinh mổ. Đồng thời thực hiện tư vấn kế hoạch hóa gia đình và điều trị hiếm muộn."
"Khoa Tim Mạch","Chuyên điều trị bệnh tim mạch bao gồm suy tim, cao huyết áp, rối loạn nhịp tim và bệnh mạch vành. Trang bị phòng can thiệp tim mạch hiện đại, có thể đặt stent và thực hiện các thủ thuật chuyên sâu."
"Khoa Thần Kinh","Khoa Thần Kinh tiếp nhận các ca bệnh liên quan đến não, tủy sống và thần kinh ngoại biên như đột quỵ, động kinh, đau đầu mãn tính. Có hệ thống MRI và EEG phục vụ chẩn đoán chính xác."
"Khoa Da Liễu","Điều trị bệnh da liễu từ nhẹ đến nặng, bao gồm viêm da, mụn trứng cá, vảy nến, lupus ban đỏ. Ngoài ra còn có dịch vụ chăm sóc da thẩm mỹ, laser trị nám, xóa sẹo và trẻ hóa da."
"Khoa Tai Mũi Họng","Khoa chuyên khám và phẫu thuật các bệnh lý tai, mũi, họng như viêm xoang, viêm amidan, ù tai, nghe kém. Có phòng mổ nội soi hiện đại, đảm bảo điều trị chính xác và an toàn."
"Khoa Mắt","Khoa Mắt chuyên khám, điều trị tật khúc xạ, đục thủy tinh thể, glôcôm, bệnh võng mạc. Thực hiện phẫu thuật LASIK, ghép giác mạc và các kỹ thuật vi phẫu hiện đại."
"Khoa Chấn Thương Chỉnh Hình","Khoa chuyên tiếp nhận bệnh nhân chấn thương gãy xương, bong gân, thoái hóa khớp. Thực hiện thay khớp nhân tạo, nẹp xương bằng kỹ thuật tiên tiến, hỗ trợ phục hồi chức năng sau phẫu thuật."
