name,price,stock,expiredAt,usageInstructions,effects,manufacturerId,supplierId,drugTypeId
Paracetamol 500mg,1500.0,500,2026-12-31,Uống 1 viên mỗi 6 giờ khi sốt,Hạ sốt giảm đau,5,4,6
Vitamin C 1000mg,3000.0,350,2027-05-20,Uống 1 viên/ngày,Tăng đề kháng,6,5,28
Metformin 850mg,2500.0,400,2026-08-15,Uống sau ăn 2 lần/ngày,Giảm đường huyết,7,6,23
Omeprazole 20mg,2000.0,250,2027-01-10,Uống trước bữa ăn sáng,Giảm tiết acid dạ dày,8,7,14
Ibuprofen 400mg,1800.0,320,2027-02-18,Uống khi đau hoặc sốt,Chống viêm giảm đau,9,8,35
Amoxicillin 500mg,2200.0,280,2026-11-30,Uống 3 lần/ngày sau ăn,Kháng sinh trị nhiễm khuẩn,10,9,7
Azithromycin 250mg,3500.0,200,2027-04-25,Uống 1 viên/ngày trong 3 ngày,Kháng sinh hô hấp,11,10,4
Cefuroxime 500mg,3800.0,150,2026-09-12,Uống sau ăn 2 lần/ngày,Kháng sinh thế hệ 2,12,11,4
Cetirizine 10mg,1600.0,300,2027-03-05,Uống 1 viên/ngày,Giảm dị ứng,13,12,15
Loratadine 10mg,1700.0,250,2026-10-28,Uống 1 viên/ngày,Chống dị ứng,14,13,46
Vitamin D3 400IU,1200.0,600,2027-07-15,Uống 1 viên/ngày,Bổ sung vitamin D3,15,14,45
Calcium Carbonate 500mg,2400.0,450,2027-08-22,Uống 2 viên/ngày,Bổ sung canxi,16,15,24
Magnesium B6,2600.0,350,2026-09-18,Uống 2 viên/ngày,Hỗ trợ thần kinh cơ,17,16,44
Collagen Peptide,5000.0,180,2027-02-09,Uống trước khi ngủ,Tăng độ đàn hồi da,18,17,26
Silymarin 140mg,4200.0,220,2026-12-20,Uống 2 viên/ngày,Bảo vệ gan,19,18,16
Zinc Gluconate 15mg,1400.0,400,2026-11-05,Uống 1 viên/ngày,Tăng miễn dịch,20,19,12
Ferrous Fumarate 325mg,2300.0,250,2027-01-30,Uống sau ăn 1 lần/ngày,Bổ sung sắt,21,20,19
ORS Oresol,800.0,700,2026-09-14,Hòa tan với 200ml nước,Chống mất nước,22,21,21
Melatonin 3mg,2800.0,150,2027-03-10,Uống trước khi ngủ,Hỗ trợ ngủ ngon,23,22,30
Probiotic Lactobacillus,3500.0,180,2027-06-25,Uống sau ăn 1 lần/ngày,Hỗ trợ tiêu hóa,24,23,47
Multivitamin Kids,3100.0,300,2027-05-05,Uống 1 viên/ngày,Bổ sung vitamin cho trẻ,25,24,12
Hydralyte Electrolyte,2000.0,270,2027-04-14,Uống khi mất nước,Bù điện giải,26,25,21
Eye Drops Refresh,1800.0,200,2026-10-05,Nhỏ 2-3 giọt/ngày,Làm dịu mắt,27,26,9
Nasal Spray Otrivin,2500.0,230,2026-12-18,Xịt 1-2 lần/ngày,Thông mũi giảm nghẹt,28,27,33
Strepsils Lozenges,1500.0,400,2027-02-07,Nhai hoặc ngậm 1 viên khi đau họng,Giảm đau họng,29,28,34
Bepanthen Cream,3200.0,150,2027-05-01,Bôi ngoài da 2 lần/ngày,Trị hăm da,30,29,36
Aspirin 81mg,1400.0,500,2026-08-30,Uống 1 viên/ngày,Ngừa huyết khối tim mạch,31,30,35
Gaviscon Double Action,2700.0,180,2027-03-15,Uống sau ăn hoặc khi đau dạ dày,Trị trào ngược,32,31,14
Efferalgan Codeine,3000.0,260,2027-02-25,Uống khi đau nhiều,Giảm đau mạnh,33,32,6
Telfast 180mg,2600.0,280,2027-04-18,Uống 1 viên/ngày,Chống dị ứng,5,33,15
Pediasure Vanilla,4200.0,190,2027-07-20,Uống 2 lần/ngày,Bổ sung dinh dưỡng trẻ,6,4,12
Ensure Gold Vanilla,4500.0,210,2027-08-11,Uống 2 lần/ngày,Bổ sung dinh dưỡng người lớn,7,5,12
Panadol Extra,1700.0,380,2027-01-01,Uống 1 viên khi đau hoặc sốt,Giảm đau hạ sốt,8,6,6
Berberin 50mg,1300.0,300,2026-10-22,Uống 2 viên sau ăn,Trị tiêu chảy,9,7,27
Clotrimazole Cream,2500.0,150,2027-05-12,Bôi vùng da nhiễm nấm,Trị nấm da,10,8,31
